Player,Age,Team,Pos,G,GS,MP,FG,FGA,FGPCT,FT,FTA,FTPCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Bam Adebayo,26,MIA,C,71,71,34,7.5,14.3,0.521,4.1,5.5,0.755,2.2,8.1,10.4,3.9,1.1,0.9,2.3,2.2,19.3
Coby White,23,CHI,PG,79,78,36.5,6.8,15.3,0.447,2.8,3.3,0.838,0.6,4,4.5,5.1,0.7,0.2,2.1,2.4,19.1
Jalen Williams,22,OKC,PF,71,71,31.3,7.5,14,0.54,2.5,3.1,0.814,0.5,3.5,4,4.5,1.1,0.6,1.7,2.5,19.1
Collin Sexton,25,UTA,SG,78,51,26.6,6.5,13.3,0.487,4.1,4.7,0.859,0.9,1.7,2.6,4.9,0.8,0.2,2.1,2,18.7
Bradley Beal,30,PHO,SG,53,53,33.3,7.1,13.9,0.513,2.1,2.5,0.813,1,3.4,4.4,5,1,0.5,2.5,2.4,18.2
Darius Garland,24,CLE,PG,57,57,33.4,6.6,14.8,0.446,2.6,3.1,0.834,0.5,2.1,2.7,6.5,1.3,0.1,3.1,1.7,18
D'Angelo Russell,27,LAL,PG,76,69,32.7,6.5,14.2,0.456,2.1,2.5,0.828,0.4,2.7,3.1,6.3,0.9,0.5,2.1,2.1,18
Nikola Vučević,33,CHI,C,76,74,34.3,7.7,15.9,0.484,1.4,1.7,0.822,2.8,7.8,10.5,3.3,0.7,0.8,1.6,2.5,18
Klay Thompson,33,GSW,SF,77,63,29.7,6.4,14.7,0.432,1.6,1.8,0.927,0.5,2.8,3.3,2.3,0.6,0.5,1.5,1.6,17.9
Jordan Poole,24,WAS,SG,78,66,30.1,6.3,15.2,0.413,2.5,2.8,0.877,0.4,2.3,2.7,4.4,1.1,0.3,2.4,3.1,17.4
Fred VanVleet,29,HOU,PG,73,73,36.8,5.8,13.9,0.416,2.7,3.1,0.86,0.5,3.4,3.8,8.1,1.4,0.8,1.7,2.5,17.4
Brandon Miller,21,CHO,SF,74,68,32.2,6.4,14.6,0.44,1.9,2.3,0.827,0.8,3.4,4.3,2.4,0.9,0.6,1.8,2.5,17.3
Tobias Harris,31,PHI,PF,70,70,33.8,6.6,13.6,0.487,2.7,3,0.878,1.1,5.3,6.5,3.1,1,0.7,1.3,1.6,17.2
Jordan Clarkson,31,UTA,SG,55,19,30.6,6.1,14.8,0.413,3.2,3.7,0.881,0.9,2.5,3.4,5,0.6,0.1,2.7,1.5,17.1
Myles Turner,27,IND,C,77,77,27,6.2,11.8,0.524,3.2,4.1,0.773,1.5,5.5,6.9,1.3,0.5,1.9,1.4,3,17.1
Immanuel Quickley,24,MULTI,SG,68,38,29.2,5.7,13.1,0.434,3.1,3.6,0.853,0.3,3.6,3.8,4.9,0.7,0.1,1.5,1.8,17
Bogdan Bogdanović,31,ATL,SG,79,33,30.4,6,13.9,0.428,1.9,2.1,0.921,0.7,2.8,3.4,3.1,1.2,0.3,1.4,2.3,16.9
Deandre Ayton,25,POR,C,55,55,32.4,7.8,13.6,0.57,1.2,1.4,0.823,3.2,7.9,11.1,1.6,1,0.8,1.8,2,16.7
Michael Porter Jr.,25,DEN,SF,81,81,31.7,6.4,13.3,0.484,1.1,1.4,0.836,1.3,5.7,7,1.5,0.5,0.7,1.1,1.8,16.7
James Harden,34,LAC,PG,72,72,34.3,4.9,11.4,0.428,4.2,4.8,0.878,0.5,4.7,5.1,8.5,1.1,0.8,2.6,1.8,16.6
Jarrett Allen,25,CLE,C,77,77,31.7,6.7,10.6,0.634,3,4.1,0.742,3.2,7.4,10.5,2.7,0.7,1.1,1.6,1.9,16.5
Chet Holmgren,21,OKC,C,82,82,29.4,6.2,11.6,0.53,2.7,3.4,0.793,1.6,6.3,7.9,2.4,0.6,2.3,1.6,2.4,16.5
Jonathan Kuminga,21,GSW,PF,74,46,26.3,6.2,11.6,0.529,3,4,0.746,1.2,3.6,4.8,2.2,0.7,0.5,1.6,2.3,16.1
Jalen Johnson,22,ATL,SF,56,52,33.7,6.4,12.5,0.511,1.9,2.6,0.728,1.3,7.4,8.7,3.6,1.2,0.8,1.8,2.4,16
Austin Reaves,25,LAL,SG,82,57,32.1,5.6,11.5,0.486,2.8,3.3,0.853,0.7,3.6,4.3,5.5,0.8,0.3,2.1,1.9,15.9
Shaedon Sharpe,20,POR,SG,32,25,33.1,5.5,13.6,0.406,3.1,3.7,0.824,1.3,3.7,5,2.9,0.9,0.4,2.3,2.8,15.9
Malcolm Brogdon,31,POR,PG,39,25,28.7,5.6,12.7,0.44,2.4,3,0.819,0.7,3.1,3.8,5.5,0.7,0.2,1.5,1.5,15.7
Keldon Johnson,24,SAS,SF,69,27,29.5,5.7,12.5,0.454,2.5,3.2,0.792,1.4,4.1,5.5,2.8,0.7,0.3,1.4,2.2,15.7
Evan Mobley,22,CLE,PF,50,50,30.6,6.4,11,0.58,2.5,3.4,0.719,2.2,7.1,9.4,3.2,0.9,1.4,1.8,2.7,15.7
De'Andre Hunter,26,ATL,SF,57,37,29.5,5.3,11.6,0.459,2.9,3.4,0.847,0.5,3.4,3.9,1.5,0.7,0.3,1.5,2.6,15.6
Donte DiVincenzo,27,NYK,SG,81,63,29.1,5.5,12.4,0.443,1.1,1.4,0.754,0.8,2.9,3.7,2.7,1.3,0.4,1.4,2,15.5
Jaden Ivey,21,DET,SG,77,61,28.8,5.4,12.6,0.429,2.9,3.9,0.749,1.1,2.3,3.4,3.8,0.7,0.5,2.5,2.6,15.4
Malik Monk,25,SAC,SG,72,0,26,5.5,12.4,0.443,2.4,2.8,0.829,0.4,2.6,2.9,5.1,0.6,0.5,2.1,2.2,15.4
Kelly Oubre Jr.,28,PHI,SF,68,52,30.2,5.7,12.9,0.441,2.6,3.4,0.75,1.4,3.6,5,1.5,1.1,0.7,1.3,2.9,15.4
Bojan Bogdanović,34,MULTI,PF,57,27,25.9,5.4,11.9,0.454,2.1,2.6,0.785,0.4,2.3,2.7,1.7,0.5,0.1,1.8,1.7,15.2
Keegan Murray,23,SAC,SF,77,77,33.6,5.8,12.7,0.454,1.3,1.6,0.831,1.4,4.1,5.5,1.7,1,0.8,0.8,2.7,15.2
Derrick White,29,BOS,SG,73,73,32.6,5.3,11.5,0.461,1.9,2.1,0.901,0.7,3.5,4.2,5.2,1,1.2,1.5,2.1,15.2
John Collins,26,UTA,PF,68,66,28,5.8,11,0.532,2.2,2.7,0.795,2.3,6.1,8.5,1.1,0.6,0.9,1.4,2.8,15.1
Khris Middleton,32,MIL,SF,55,55,27,5.8,11.7,0.493,1.8,2.2,0.833,0.7,3.9,4.7,5.3,0.9,0.3,2.3,2.6,15.1
Trey Murphy III,23,NOP,SF,57,23,29.6,4.8,10.9,0.443,2.2,2.6,0.815,0.7,4.2,4.9,2.2,0.9,0.5,0.6,1.2,14.8
OG Anunoby,26,MULTI,SF,50,50,34,5.6,11.5,0.489,1.3,1.8,0.753,0.9,3.2,4.2,2.1,1.4,0.7,1.6,2.4,14.7
Deni Avdija,23,WAS,SF,75,75,30.1,5.4,10.7,0.506,2.7,3.6,0.74,1.1,6.1,7.2,3.8,0.8,0.5,2.1,2.5,14.7
GG Jackson II,19,MEM,PF,48,18,25.7,5,11.7,0.428,2.4,3.2,0.752,1.1,3,4.1,1.2,0.6,0.5,1.4,1.3,14.6
Bennedict Mathurin,21,IND,SF,59,19,26.1,5,11.2,0.446,3.1,3.8,0.821,1,2.9,4,2,0.6,0.2,1.6,2,14.5
Marcus Smart,29,MEM,PG,20,20,30.3,5.1,11.9,0.43,2.2,2.8,0.768,0.3,2.4,2.7,4.3,2.1,0.3,3.1,2.7,14.5
Tim Hardaway Jr.,31,DAL,SF,79,12,26.8,5,12.4,0.402,1.8,2.1,0.852,0.3,2.9,3.2,1.8,0.5,0.1,0.9,1.3,14.4
Dennis Schröder,30,MULTI,PG,80,58,31.1,5,11.6,0.435,2.2,2.7,0.836,0.5,2.5,3,6.1,0.8,0.2,1.9,2.1,14
Rudy Gobert,31,MIN,C,76,76,34.1,5.3,8.1,0.661,3.3,5.1,0.638,3.8,9.2,12.9,1.3,0.7,2.1,1.6,3.1,14
Scoot Henderson,19,POR,PG,62,32,28.5,5,12.9,0.385,2.7,3.3,0.819,0.9,2.3,3.1,5.4,0.8,0.2,3.4,3.1,14
Caris LeVert,29,CLE,SG,68,10,28.8,5.1,12.1,0.421,2.3,3,0.766,0.6,3.5,4.1,5.1,1.1,0.5,1.7,1.8,14
Aaron Gordon,28,DEN,PF,73,73,31.5,5.5,9.8,0.556,2.4,3.7,0.658,2.4,4.1,6.5,3.5,0.8,0.6,1.4,1.9,13.9
Norman Powell,30,LAC,SG,76,3,26.2,4.9,10.1,0.486,1.9,2.3,0.831,0.2,2.4,2.6,1.1,0.6,0.3,0.9,1.8,13.9
Jalen Duren,20,DET,C,61,60,29.1,5.7,9.2,0.619,2.3,3,0.79,3.1,8.5,11.6,2.4,0.5,0.8,2.1,3.1,13.8
Bobby Portis,28,MIL,PF,82,4,24.5,5.7,11.2,0.508,1.2,1.5,0.79,1.7,5.7,7.4,1.3,0.8,0.4,1.1,2.3,13.8
Saddiq Bey,24,ATL,SF,63,51,32.7,4.6,11.1,0.416,2.7,3.2,0.837,2.7,3.9,6.5,1.5,0.8,0.2,0.9,1.4,13.7
Jabari Smith Jr.,20,HOU,PF,76,76,31.9,5,11,0.454,2,2.4,0.811,1.8,6.3,8.1,1.6,0.7,0.8,1.2,2.6,13.7
Gary Trent Jr.,25,TOR,SG,71,41,28.1,5.1,11.9,0.426,1,1.4,0.771,0.4,2.3,2.6,1.7,1.1,0.1,0.7,1.4,13.7
Rui Hachimura,25,LAL,PF,68,39,26.9,5.3,9.9,0.537,1.5,2,0.739,0.9,3.5,4.3,1.2,0.6,0.4,0.7,1.5,13.6
Grayson Allen,28,PHO,SG,75,74,33.5,4.5,9.1,0.499,1.7,2,0.878,0.6,3.3,3.9,3,0.9,0.6,1.3,2.1,13.5
Naz Reid,24,MIN,PF,81,14,24.2,5,10.5,0.477,1.3,1.8,0.736,0.9,4.3,5.2,1.3,0.8,0.9,1.4,2.1,13.5
Cameron Johnson,27,BRK,PF,58,47,27.6,4.8,10.7,0.446,1.5,1.9,0.789,0.9,3.4,4.3,2.4,0.8,0.3,1,1.8,13.4
Corey Kispert,24,WAS,SF,80,22,25.8,4.8,9.9,0.486,1.4,2,0.726,0.4,2.4,2.8,2,0.5,0.2,1.2,1.8,13.4
Andrew Wiggins,28,GSW,SF,71,59,27,5,11,0.453,2,2.7,0.751,1.5,3,4.5,1.7,0.6,0.6,1.2,2.1,13.2
Keyonte George,20,UTA,PG,75,44,27,4.3,10.9,0.391,2.5,3,0.848,0.2,2.6,2.8,4.4,0.5,0.1,2.5,1.2,13
P.J. Washington,25,MULTI,PF,73,45,30.4,4.8,11.1,0.436,1.4,2,0.683,1.2,4.5,5.6,1.9,1,0.8,1.3,2.3,12.9
Scotty Pippen Jr.,23,MEM,PG,21,16,25.1,4.8,9.7,0.493,2,2.6,0.745,1,2.1,3.2,4.7,1.7,0.5,2.7,2.9,12.9
Duncan Robinson,29,MIA,SF,68,36,28,4.5,9.9,0.45,1.2,1.3,0.889,0.2,2.3,2.5,2.8,0.7,0.2,1.4,2.4,12.9
Dillon Brooks,28,HOU,SF,72,72,30.9,4.6,10.7,0.428,1.7,2,0.844,0.7,2.7,3.4,1.7,0.9,0.1,1.2,3.3,12.7
Mark Williams,22,CHO,C,19,19,26.7,5.2,7.9,0.649,2.4,3.4,0.719,4,5.7,9.7,1.2,0.8,1.1,0.9,2.6,12.7
Jalen Suggs,22,ORL,SG,75,75,27,4.5,9.5,0.471,1.6,2.1,0.756,0.6,2.4,3.1,2.7,1.4,0.6,1.8,2.7,12.6
Jrue Holiday,33,BOS,PG,69,69,32.8,4.8,10,0.48,0.9,1,0.833,1.2,4.2,5.4,4.8,0.9,0.8,1.8,1.6,12.5
Brook Lopez,35,MIL,C,79,79,30.5,4.6,9.6,0.485,1.4,1.7,0.821,1.5,3.7,5.2,1.6,0.5,2.4,1,2.4,12.5
Josh Giddey,21,OKC,SG,80,80,25.1,5,10.6,0.475,1.3,1.6,0.806,1.4,5,6.4,4.8,0.6,0.6,2.1,1.4,12.3
Cam Whitmore,19,HOU,SF,47,2,18.7,4.5,9.9,0.454,1.6,2.4,0.679,0.9,2.9,3.8,0.7,0.6,0.4,1,1.4,12.3
Harrison Barnes,31,SAC,PF,82,82,29,4.2,8.9,0.474,1.9,2.4,0.801,0.8,2.2,3,1.2,0.7,0.1,0.7,1.2,12.2
Ayo Dosunmu,24,CHI,SG,76,37,29.1,4.7,9.5,0.501,1.1,1.4,0.81,0.7,2.1,2.8,3.2,0.9,0.5,1.4,2.2,12.2
Javonte Green,30,CHI,SF,9,5,25.6,5,8.3,0.6,1.1,1.4,0.769,2.2,5.2,7.4,0.6,1.1,0.9,0.8,2.1,12.2
Aaron Nesmith,24,IND,SF,72,47,27.7,4.4,8.8,0.496,1.5,1.9,0.781,0.9,2.9,3.8,1.5,0.9,0.7,0.9,3.3,12.2
Max Strus,27,CLE,SF,70,70,32,4.3,10.4,0.418,1.1,1.4,0.794,0.9,3.9,4.8,4,0.9,0.4,1.6,2.4,12.2
Jonas Valančiūnas,31,NOP,C,82,82,23.5,4.9,8.8,0.559,2,2.5,0.785,2.3,6.5,8.8,2.1,0.4,0.8,1.4,2.7,12.2
Buddy Hield,31,MULTI,SF,84,42,25.7,4.4,10.1,0.436,0.6,0.7,0.881,0.7,2.5,3.2,2.8,0.8,0.5,1.2,2,12.1
Tyus Jones,27,WAS,PG,66,66,29.3,4.9,10.1,0.489,0.5,0.6,0.8,0.3,2.4,2.7,7.3,1.1,0.3,1,0.7,12
Jaime Jaquez Jr.,22,MIA,SF,75,20,28.2,4.5,9.3,0.489,1.9,2.3,0.811,1.1,2.7,3.8,2.6,1,0.3,1.5,2.2,11.9
Nic Claxton,24,BRK,C,71,71,29.8,5.2,8.2,0.629,1.5,2.8,0.551,2.7,7.2,9.9,2.1,0.6,2.1,1.3,2.5,11.8
Marvin Bagley III,24,MULTI,C,50,25,21.1,4.8,8.2,0.586,1.9,2.5,0.762,2.6,3.6,6.2,1.1,0.4,0.7,1.2,1.6,11.7
Ivica Zubac,26,LAC,C,68,68,26.4,5,7.6,0.649,1.8,2.4,0.723,2.9,6.3,9.2,1.4,0.3,1.2,1.2,2.6,11.7
Cole Anthony,23,ORL,PG,81,0,22.4,4.1,9.4,0.435,2.2,2.7,0.826,0.8,3,3.8,2.9,0.8,0.5,1.6,2.2,11.6
Jeremy Sochan,20,SAS,PF,74,73,29.6,4.6,10.5,0.438,1.5,1.9,0.771,1.9,4.6,6.4,3.4,0.8,0.5,1.9,2.3,11.6
Clint Capela,29,ATL,C,73,73,25.8,4.8,8.5,0.571,1.8,2.8,0.631,4.6,6,10.6,1.2,0.6,1.5,1,2.2,11.5
Mike Conley,36,MIN,PG,76,76,28.9,3.9,8.5,0.457,1.3,1.5,0.911,0.5,2.4,2.9,5.9,1.2,0.2,1.3,1.7,11.4
Malik Beasley,27,MIL,SG,79,77,29.6,4.1,9.1,0.443,0.3,0.4,0.714,0.5,3.2,3.7,1.4,0.7,0.1,0.7,2,11.3
Brandon Clarke,27,MEM,PF,6,1,22.3,5.5,9.8,0.559,0.2,1.2,0.143,2.2,3.2,5.3,1.5,0.8,1,0.5,1.3,11.3
Zach Collins,26,SAS,C,69,29,22.1,4.3,8.9,0.484,1.8,2.3,0.753,1.7,3.7,5.4,2.8,0.5,0.8,1.9,3,11.2
De'Anthony Melton,25,PHI,SG,38,33,26.9,3.7,9.5,0.386,1.7,2.1,0.835,0.7,3,3.7,3,1.6,0.4,1,2.2,11.1
Jakob Poeltl,28,TOR,C,50,50,26.4,5,7.6,0.656,1.2,2.1,0.551,2.9,5.7,8.6,2.5,0.7,1.5,1.5,3,11.1
Russell Westbrook,35,LAC,PG,68,11,22.5,4.4,9.8,0.454,1.6,2.4,0.688,1.4,3.7,5,4.5,1.1,0.3,2.1,1.8,11.1
Daniel Gafford,25,MULTI,PF,74,66,24.5,4.7,6.5,0.725,1.6,2.4,0.674,2.6,5,7.6,1.6,0.9,2.1,1,3.1,11
Wendell Carter Jr.,24,ORL,C,55,48,25.6,4.1,7.7,0.525,1.7,2.4,0.694,2,4.9,6.9,1.7,0.6,0.5,1.2,2.2,11
Eric Gordon,35,PHO,SG,68,24,27.8,4,9.1,0.443,0.8,0.9,0.797,0.2,1.6,1.8,2,1,0.4,1.1,1.2,11
Herbert Jones,25,NOP,SF,76,76,30.5,3.9,7.7,0.498,1.8,2.1,0.867,1,2.6,3.6,2.6,1.4,0.8,1.2,2.9,11
Luke Kennard,27,MEM,SG,39,22,25.6,3.6,8.1,0.448,1,1.2,0.889,0.3,2.6,2.9,3.5,0.5,0.1,1.4,1,11
Luguentz Dort,24,OKC,SF,79,79,28.4,3.6,8.3,0.438,1.6,2,0.826,0.9,2.7,3.6,1.4,0.9,0.6,0.9,2.9,10.9
Jusuf Nurkić,29,PHO,C,76,76,27.3,4.2,8.3,0.51,2.2,3.4,0.64,2.9,8.1,11,4,1.1,1.1,2.3,3.3,10.9
Isaiah Stewart,22,DET,PF,46,45,30.9,4,8.3,0.487,1.4,1.8,0.753,1.6,5,6.6,1.6,0.4,0.8,1.4,2.2,10.9
Moritz Wagner,26,ORL,C,80,1,17.7,4.2,6.9,0.601,2.1,2.6,0.814,1.5,2.9,4.3,1.2,0.5,0.3,1.2,2,10.9
Bruce Brown,27,MULTI,SG,67,44,27.9,4.1,8.7,0.478,1.7,2.1,0.824,0.8,3.4,4.2,2.9,0.9,0.3,1.3,2.2,10.8
Jake LaRavia,22,MEM,PF,35,6,23,3.4,8.7,0.389,2.6,3.1,0.826,1.5,2.2,3.7,1.7,0.8,0.3,1.3,2,10.8
Santi Aldama,23,MEM,PF,61,35,26.5,4,9.3,0.435,0.9,1.4,0.621,1.2,4.6,5.8,2.3,0.7,0.9,1.1,1.5,10.7
Simone Fontecchio,28,MULTI,SF,66,43,24.9,3.8,8.3,0.46,0.8,1,0.818,1,2.8,3.7,1.5,0.7,0.3,1,1.7,10.5
Spencer Dinwiddie,30,MULTI,PG,76,52,28.3,3.3,8.4,0.392,2.2,2.8,0.805,0.4,2.3,2.7,4.7,0.7,0.3,1.2,1.8,10.5
Jaden McDaniels,23,MIN,SF,72,71,29.2,4.3,8.7,0.489,0.8,1.1,0.722,0.8,2.3,3.1,1.4,0.9,0.6,1.2,3,10.5
Alec Burks,32,MULTI,SG,66,1,18.4,3.2,8.6,0.369,2.2,2.5,0.868,0.4,1.9,2.3,1.3,0.4,0.2,0.7,1.1,10.4
Dalano Banton,24,MULTI,PG,54,9,19.4,3.7,9.3,0.404,1.7,2.2,0.783,0.8,2.5,3.3,2.4,0.6,0.4,1.4,1.2,10.3
Grant Williams,25,MULTI,PF,76,43,28,3.6,8,0.456,1.4,1.8,0.757,1.1,3.1,4.2,2.3,0.6,0.5,1.4,3,10.3
Obi Toppin,25,IND,PF,82,28,21.1,4,7.1,0.573,0.9,1.2,0.77,1,2.9,3.9,1.6,0.6,0.5,0.8,1.7,10.3
Kevin Huerter,25,SAC,SG,64,59,24.4,3.9,8.8,0.443,0.6,0.7,0.766,0.6,2.9,3.5,2.6,0.7,0.4,0.8,2.1,10.2
Reggie Jackson,33,DEN,PG,82,23,22.2,4,9.2,0.431,1,1.2,0.806,0.4,1.5,1.9,3.8,0.5,0.2,1.3,1.8,10.2
T.J. McConnell,31,IND,PG,71,4,18.2,4.6,8.4,0.556,0.7,0.9,0.79,0.5,2.2,2.7,5.5,1,0.1,1.5,1.1,10.2
Onyeka Okongwu,23,ATL,C,55,8,25.5,4.1,6.6,0.611,1.7,2.1,0.793,2.6,4.2,6.8,1.3,0.5,1.1,0.8,2.9,10.2
Kentavious Caldwell-Pope,30,DEN,SG,76,76,31.6,3.6,7.7,0.46,1.3,1.5,0.894,0.4,2,2.4,2.4,1.3,0.6,1,2,10.1
Alex Caruso,29,CHI,SG,71,57,28.7,3.6,7.6,0.468,1,1.4,0.76,0.9,3,3.8,3.5,1.7,1,1.4,2.5,10.1
Talen Horton-Tucker,23,UTA,PG,51,11,19.8,3.6,9.1,0.396,1.7,2.1,0.807,0.4,2,2.4,3.5,0.9,0.4,1.3,1.8,10.1
Tre Jones,24,SAS,PG,77,48,27.8,3.9,7.8,0.505,1.3,1.5,0.856,0.8,3,3.8,6.2,1,0.1,1.5,1.2,10
Caleb Martin,28,MIA,SF,64,23,27.4,3.8,8.7,0.431,1.2,1.5,0.778,1.2,3.2,4.4,2.2,0.7,0.5,1.2,2,10
Patrick Williams,22,CHI,PF,43,30,27.3,3.7,8.3,0.443,1.2,1.5,0.788,1.1,2.8,3.9,1.5,0.9,0.8,1.3,2,10
Vince Williams Jr.,23,MEM,SG,52,33,27.6,3.3,7.3,0.446,2,2.5,0.8,1.1,4.4,5.6,3.4,0.9,0.7,1.8,2.6,10
Josh Richardson,30,MIA,SG,43,6,25.7,3.6,8.1,0.444,1.2,1.3,0.944,0.4,2.4,2.8,2.4,0.6,0.3,0.8,1.8,9.9
Jalen Smith,23,IND,C,61,14,17.2,3.8,6.5,0.592,1.2,1.7,0.692,1.8,3.7,5.5,1,0.3,0.6,0.7,2,9.9
Gordon Hayward,33,MULTI,SF,51,28,24.4,3.7,7.9,0.464,1.7,2.4,0.742,0.7,2.8,3.5,3.1,0.8,0.3,1.3,1.3,9.8
Kelly Olynyk,32,MULTI,C,78,27,22.6,3.5,6.4,0.555,1.9,2.3,0.833,1.4,3.9,5.3,4.4,0.9,0.4,1.9,2.9,9.8
Tari Eason,22,HOU,PF,22,0,21.8,4,8.6,0.466,1,1.5,0.636,2.1,4.9,7,1.2,1.4,0.9,0.9,2.3,9.8
Nick Richards,26,CHO,C,67,51,26.3,3.9,5.6,0.691,2,2.7,0.737,2.6,5.5,8,0.8,0.4,1.1,1.1,2.6,9.7
Lonnie Walker IV,25,BRK,SG,58,0,17.4,3.6,8.5,0.423,0.8,1,0.763,0.2,2,2.2,1.3,0.6,0.3,0.9,1.2,9.7
Payton Pritchard,26,BOS,PG,82,5,22.3,3.6,7.7,0.468,0.6,0.7,0.821,0.9,2.4,3.2,3.4,0.5,0.1,0.7,1.3,9.6
Amen Thompson,21,HOU,SF,62,23,22.4,3.9,7.2,0.536,1.7,2.5,0.684,2.4,4.2,6.6,2.6,1.3,0.6,1.5,2.3,9.5
Josh Hart,28,NYK,SF,81,42,33.4,3.6,8.4,0.434,1.1,1.4,0.791,1.6,6.8,8.3,4.1,0.9,0.3,1.5,2.1,9.4
Georges Niang,30,CLE,PF,82,10,22.3,3.5,7.7,0.449,0.6,0.7,0.85,0.3,3.1,3.4,1.2,0.4,0.2,0.9,2.3,9.4
Isaac Okoro,23,CLE,SF,69,42,27.3,3.4,7,0.49,1.3,2,0.679,1,2,3,1.9,0.8,0.5,0.8,2,9.4
Tre Mann,22,MULTI,PG,41,28,24.1,3.5,7.7,0.459,1.1,1.4,0.763,0.5,3.1,3.6,4,1.2,0.1,1.6,1.2,9.3
Malaki Branham,20,SAS,PG,75,29,21.3,3.6,8.4,0.432,0.7,0.8,0.873,0.4,1.6,2,2.1,0.4,0.1,1.2,1.3,9.2
Andrew Nembhard,24,IND,PG,68,47,25,3.8,7.7,0.498,0.7,0.8,0.804,0.5,1.5,2.1,4.1,0.9,0.1,1.5,2.1,9.2
Chris Paul,38,GSW,PG,58,18,26.4,3.6,8.1,0.441,0.7,0.9,0.827,0.3,3.6,3.9,6.8,1.2,0.1,1.3,1.9,9.2
Brandin Podziemski,20,GSW,SG,74,28,26.6,3.7,8.1,0.454,0.7,1.1,0.633,1.6,4.2,5.8,3.7,0.8,0.2,1.2,1.6,9.2
Duop Reath,27,POR,C,68,20,17.9,3.4,7.3,0.461,1,1.4,0.742,1.4,2.3,3.7,1,0.5,0.6,0.8,2.4,9.1
Sam Hauser,26,BOS,SF,79,13,22,3.2,7.1,0.446,0.2,0.2,0.895,0.6,2.9,3.5,1,0.5,0.3,0.4,1.3,9
Taurean Prince,29,LAL,PF,78,49,27,3.2,7.3,0.442,0.6,0.9,0.735,0.3,2.7,2.9,1.5,0.7,0.4,0.9,1.9,8.9
Jabari Walker,21,POR,SF,72,23,23.6,3.3,7.1,0.46,1.8,2.4,0.754,2.1,5,7.1,1,0.6,0.3,0.9,2.4,8.9
Dereck Lively II,19,DAL,C,55,42,23.5,4,5.4,0.747,0.7,1.5,0.506,2.5,4.4,6.9,1.1,0.7,1.4,0.9,2.6,8.8
Kevin Love,35,MIA,PF,55,5,16.8,2.9,6.5,0.44,1.5,2,0.787,1.1,5.1,6.1,2.1,0.3,0.2,0.9,1.8,8.8
Terance Mann,27,LAC,SG,75,71,25,3.4,6.6,0.515,1.1,1.3,0.832,1.2,2.2,3.4,1.6,0.6,0.2,0.6,1.9,8.8
Ausar Thompson,21,DET,SF,63,38,25.1,3.7,7.6,0.483,1.1,1.9,0.597,2,4.3,6.4,1.9,1.1,0.9,1.3,2.8,8.8
Draymond Green,33,GSW,PF,55,52,27.1,3.4,6.8,0.497,1,1.3,0.73,1.4,5.9,7.2,6,1,0.9,2.5,3,8.6
Al Horford,37,BOS,C,65,33,26.8,3.3,6.4,0.511,0.4,0.5,0.867,1.3,5.1,6.4,2.6,0.6,1,0.7,1.4,8.6
Derrick Jones Jr.,26,DAL,SF,76,66,23.5,3.1,6.5,0.483,1.3,1.8,0.713,1.1,2.2,3.3,1,0.7,0.7,0.9,1.6,8.6
Gradey Dick,20,TOR,SG,60,17,21.1,3.2,7.4,0.425,0.7,0.9,0.863,0.5,1.8,2.2,1.1,0.6,0,0.8,1.5,8.5
Dorian Finney-Smith,30,BRK,PF,68,56,28.4,3.2,7.5,0.421,0.5,0.7,0.717,1.6,3.1,4.7,1.6,0.8,0.6,0.9,2.2,8.5
Tristan Vukcevic,20,WAS,C,10,4,15.3,2.9,6.7,0.433,1.7,2.2,0.773,0.6,3,3.6,1.3,0.5,0.7,1,2.8,8.5
Bilal Coulibaly,19,WAS,SF,63,15,27.2,3,6.9,0.435,1.5,2.1,0.702,0.9,3.2,4.1,1.7,0.9,0.8,1.4,2.2,8.4
Andre Drummond,30,CHI,C,79,10,17.1,3.4,6.1,0.556,1.6,2.8,0.592,3.4,5.6,9,0.5,0.9,0.6,1,1.8,8.4
Miles McBride,23,NYK,PG,68,14,19.5,3,6.7,0.452,0.6,0.7,0.86,0.5,1,1.5,1.7,0.7,0.1,0.4,1.6,8.3
Marcus Sasser,23,DET,PG,71,11,19,3.1,7.2,0.428,0.8,0.9,0.879,0.2,1.6,1.8,3.3,0.6,0.2,1.3,1.5,8.3
Josh Green,23,DAL,SG,57,33,26.4,3.1,6.6,0.479,0.7,1,0.684,0.7,2.5,3.2,2.3,0.8,0.2,1.1,1.9,8.2
Isaiah Joe,24,OKC,SG,78,1,18.5,2.8,6.2,0.458,0.6,0.7,0.865,0.4,1.9,2.3,1.3,0.6,0.3,0.6,1.1,8.2
Ziaire Williams,22,MEM,SF,51,15,20.4,2.9,7.4,0.397,1.2,1.5,0.827,0.7,2.8,3.5,1.5,0.7,0.2,1.3,1.7,8.2
Kyle Lowry,37,MULTI,PG,60,55,28.2,2.7,6.3,0.432,1.1,1.3,0.84,0.6,2.7,3.2,4.2,1,0.4,1.4,2.4,8.1
Walker Kessler,22,UTA,C,64,22,23.3,3.6,5.5,0.654,0.9,1.5,0.602,2.6,4.9,7.5,0.9,0.5,2.4,1,2.1,8.1
Moses Moody,21,GSW,SG,66,9,17.5,2.9,6.4,0.462,1.1,1.4,0.785,1,2,3,0.9,0.6,0.4,0.7,1.4,8.1
