Player,Age,Team,Pos,G,GS,MP,FG,FGA,FGPCT,FT,FTA,FTPCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
D'Moi Hodge,25,LAL,SG,7,0,5.9,0.7,2.1,0.333,0.1,0.3,0.5,0,0,0,0.7,0.1,0.1,0.1,0.6,2
Ty Jerome,26,CLE,SG,2,0,7.5,1,2,0.5,0,0,,0.5,0,0.5,1.5,0,0,0.5,1,2
Markquis Nowell,24,TOR,SG,1,0,4,0,1,0,2,2,1,2,0,2,2,1,0,0,0,2
Jericho Sims,25,NYK,C,45,11,13,0.8,1.2,0.691,0.4,0.5,0.667,1.2,2,3.3,0.6,0.2,0.4,0.4,1,2
Lindell Wigginton,25,MIL,PG,3,0,2.7,0.7,1.7,0.4,0.7,0.7,1,0,0,0,0,0,0,0.3,0.3,2
Isaiah Wong,23,IND,SG,1,0,4,1,3,0.333,0,0,,0,0,0,0,0,0,0,0,2
Justin Minaya,24,POR,SF,34,1,11.2,0.6,2.2,0.297,0.1,0.3,0.556,0.9,0.8,1.6,0.6,0.3,0.3,0.3,1,1.8
Daishen Nix,21,MIN,PG,15,0,3.3,0.6,1.6,0.375,0.2,0.4,0.5,0.1,0.1,0.2,0.4,0.3,0,0.3,0.1,1.8
Cody Zeller,31,NOP,C,43,0,7.4,0.6,1.4,0.419,0.5,0.9,0.605,1.1,1.5,2.6,0.9,0.2,0.1,0.4,1,1.8
Taj Gibson,38,MULTI,PF,20,1,10.2,0.8,1.9,0.405,0.1,0.1,1,0.6,1.3,1.9,0.6,0.2,0.4,0.3,1.6,1.7
P.J. Tucker,38,MULTI,PF,31,10,15.7,0.6,1.6,0.36,0.1,0.1,1,0.9,1.8,2.7,0.5,0.5,0.2,0.3,1.7,1.7
Kessler Edwards,23,SAC,SF,54,0,5.1,0.6,1.5,0.415,0.1,0.2,0.556,0.2,0.6,0.8,0.3,0.2,0.1,0.1,0.5,1.7
Leonard Miller,20,MIN,SF,17,0,3.1,0.8,1.2,0.65,0.1,0.1,0.5,0.3,0.9,1.2,0.5,0.1,0.1,0.1,0.3,1.7
Jason Preston,24,UTA,PG,7,0,10.1,0.9,2.7,0.316,0,0,,0.9,1.6,2.4,2.3,0.3,0.1,0.3,0.4,1.7
Jordan Walsh,19,BOS,SF,9,1,9.2,0.7,1.7,0.4,0.1,0.2,0.5,0.6,1.7,2.2,0.6,0.6,0.1,0.3,1.2,1.7
Jalen Hood-Schifino,20,LAL,SG,21,0,5.2,0.5,2.1,0.222,0.6,1,0.6,0.1,0.5,0.6,0.4,0.1,0.1,0.4,0.6,1.6
Jett Howard,20,ORL,SF,18,0,3.7,0.6,1.7,0.333,0.1,0.2,0.5,0.1,0.3,0.4,0.3,0.1,0.1,0.2,0.2,1.6
Seth Lundy,23,ATL,SF,9,0,5.8,0.4,1.9,0.235,0.3,0.4,0.75,0.1,0.7,0.8,0,0,0,0.1,0.7,1.6
Jordan Miller,24,LAC,SF,8,0,3.5,0.6,1.1,0.556,0.3,0.3,1,0.4,0.3,0.6,0,0,0,0.1,0.3,1.6
Josh Minott,21,MIN,SF,32,0,2.8,0.5,1.1,0.472,0.4,0.4,0.857,0.1,0.4,0.5,0.3,0.2,0.2,0.1,0.3,1.6
Jalen Pickett,24,DEN,SG,27,0,4.5,0.6,1.3,0.429,0.1,0.1,0.75,0,0.5,0.5,0.8,0.1,0,0.3,0.5,1.6
Ibou Badji,21,POR,C,22,1,10.3,0.6,1,0.636,0.3,0.5,0.5,0.9,1.4,2.3,0.6,0.1,0.9,0.7,2.1,1.5
Colin Castleton,23,LAL,C,16,0,3.7,0.6,1,0.563,0.4,0.4,1,0.4,0.4,0.8,0.2,0.1,0,0.2,0.7,1.5
Adam Flagler,24,OKC,SG,2,0,7,0.5,3.5,0.143,0,0,,0,0,0,2,0,0,0,0,1.5
Dariq Whitehead,19,BRK,SF,2,0,12,0.5,2.5,0.2,0.5,1,0.5,0,2,2,1.5,0,0.5,0,0,1.5
Terry Taylor,24,CHI,PF,31,0,6.1,0.6,1.3,0.513,0.1,0.2,0.8,0.5,0.6,1.2,0.3,0.2,0.1,0.2,0.5,1.5
Jack White,26,MEM,SF,4,0,16,0.5,4,0.125,0,0,,1,2,3,0.3,1,0.3,0.5,0.8,1.5
Kendall Brown,20,IND,SG,15,0,4.2,0.5,1,0.533,0.3,0.5,0.625,0.2,0.1,0.3,0.3,0,0,0.1,0.6,1.4
Mason Jones,25,SAC,SG,5,0,5.6,0.4,1.6,0.25,0.2,0.4,0.5,0.2,0.8,1,1,0.2,0,0.4,0.6,1.4
Jerome Robinson,26,GSW,SG,22,0,3.7,0.5,1.5,0.333,0.3,0.5,0.636,0,0.2,0.3,0.2,0,0.1,0.1,0.2,1.4
Jermaine Samuels,25,HOU,SF,14,0,4.3,0.6,1,0.643,0.1,0.1,1,0.2,0.7,0.9,0.2,0.1,0.1,0,0.4,1.4
Jacob Toppin,23,NYK,SF,9,0,4.2,0.6,1,0.556,0.2,0.2,1,0.3,0.4,0.8,0.3,0,0.1,0.1,0.3,1.4
R.J. Hampton,22,MIA,PG,8,2,9.5,0.5,1.8,0.286,0.1,0.3,0.5,0.3,0.5,0.8,1,0,0,0.4,1,1.3
Nathan Mensah,25,CHO,C,25,0,12.3,0.5,1.1,0.429,0.4,0.5,0.75,1.2,1.4,2.6,0.4,0.2,0.6,0.6,2.6,1.3
Isaiah Thomas,34,PHO,PG,6,0,3.2,0.5,1.7,0.3,0,0,,0,0,0,0.5,0,0,0,0,1.3
TyTy Washington Jr.,22,MIL,PG,11,0,5.1,0.5,1.8,0.3,0,0,,0.1,0.4,0.5,0.5,0.3,0,0.2,0.1,1.3
Jay Huff,25,DEN,C,20,0,2.5,0.5,0.8,0.6,0.1,0.1,1,0.1,0.5,0.6,0.1,0.1,0.2,0.1,0.5,1.2
Keyontae Johnson,23,OKC,SF,9,0,7.3,0.6,1.8,0.313,0,0,,0.4,0.7,1.1,0.4,0.1,0,0.4,0.6,1.2
